,name,value
0,nan,11130
1,sodium t-butanolate,6348
2,acetic acid,5681
3,sodium tris(acetoxy)borohydride,5486
4,caesium carbonate,4927
5,tris-(dibenzylideneacetone)dipalladium(0),4690
6,palladium diacetate,4413
7,sodium cyanoborohydride,4109
8,copper diacetate,3963
9,aluminum (III) chloride,3871
10,sodium tetrahydroborate,3697
11,triethylamine,3092
12,magnesium,2659
13,"2,2'-bis-(diphenylphosphino)-1,1'-binaphthyl",2464
14,potassium carbonate,2371
15,copper(l) iodide,2133
16,potassium tert-butylate,2092
17,"4,5-bis(diphenylphos4,5-bis(diphenylphosphino)-9,9-dimethylxanthenephino)-9,9-dimethylxanthene",1935
18,zinc(II) chloride,1861
19,tetrakis(triphenylphosphine) palladium(0),1563
20,hydrogenchloride,1399
21,pyridine,1321
22,XPhos,1265
23,iodine,1228
24,bis(dibenzylideneacetone)-palladium(0),1226
25,potassium phosphate,1177
26,iron(III)-acetylacetonate,941
27,n-butyllithium,899
28,iron(III) chloride,893
29,tri-tert-butyl phosphine,886
30,trifluoroacetic acid,874
31,potassium hydroxide,830
32,oxygen,830
33,sodium hydroxide,797
34,"(1,1'-bis(diphenylphosphino)ferrocene)palladium(II) dichloride",695
35,boron trifluoride diethyl etherate,678
36,ammonium chloride,664
37,"N,N,N,N,-tetramethylethylenediamine",647
38,copper(II) bis(trifluoromethanesulfonate),619
39,"1,3-bis[(diphenylphosphino)propane]dichloronickel(II)",610
40,zinc,597
41,zinc dibromide,576
42,"N-ethyl-N,N-diisopropylamine",568
43,"1,1'-bis-(diphenylphosphino)ferrocene",560
44,lithium chloride,547
45,toluene-4-sulfonic acid,541
46,"dicyclohexyl-(2',6'-dimethoxybiphenyl-2-yl)-phosphane",529
47,sodium hydrogencarbonate,515
48,hydrogen,512
49,4 A molecular sieve,493
50,bis-triphenylphosphine-palladium(II) chloride,479
51,trifluorormethanesulfonic acid,473
52,triphenylphosphine,473
53,copper(l) chloride,416
54,tin(IV) chloride,415
55,"[2,2]bipyridinyl",409
56,sulfuric acid,394
57,sodium carbonate,380
58,"4,5-bis(diphenylphosphino)-9,9-dimethylxanthene",378
59,lithium hexamethyldisilazane,352
60,scandium tris(trifluoromethanesulfonate),350
61,magnesium sulfate,349
62,cobalt(II) chloride,346
63,titanium tetrachloride,344
64,tri tert-butylphosphoniumtetrafluoroborate,326
65,ruphos,324
66,ethylene dibromide,324
67,trifuran-2-yl-phosphane,315
68,bismuth(lll) trifluoromethanesulfonate,313
69,dilithium tetrachlorocuprate,304
70,triethylsilane,301
71,"1,3-bis[(2,6-diisopropyl)phenyl]imidazolinium chloride",298
72,johnphos,286
73,copper(I) bromide,281
74,sodium sulfate,275
75,titanium(IV) isopropylate,272
76,palladium 10% on activated carbon,272
77,bis(triphenylphosphine)nickel(II) chloride,269
78,dmap,267
79,air,264
80,tris(dibenzylideneacetone)dipalladium(0) chloroform complex,261
81,indium(III) chloride,257
82,"1,2-bis(diphenylphosphino)ethane nickel(II) chloride",255
83,sodium acetate,252
84,"[1,3-bis(2,6-diisopropylphenyl)imidazol-2-ylidene](3-chloropyridyl)palladium(II) dichloride",250
85,nickel dichloride,249
86,bis(tri-t-butylphosphine)palladium(0),243
87,"1,8-diazabicyclo[5.4.0]undec-7-ene",242
88,tetrabutylammomium bromide,238
