,name,value
0,tetrahydrofuran,22319
1,toluene,14266
2,dichloromethane,14131
3,methanol,8819
4,water,6627
5,"1,4-dioxane",5310
6,diethyl ether,4872
7,"1,2-dichloro-ethane",4869
8,acetonitrile,3416
9,"N,N-dimethyl-formamide",3006
10,ethanol,2962
11,1-methyl-pyrrolidin-2-one,1839
12,neat (no solvent),1570
13,dimethyl sulfoxide,1515
14,benzene,1359
15,hexane,1263
16,chloroform,1197
17,nitromethane,966
18,"1,2-dimethoxyethane",958
19,tert-butyl alcohol,873
20,"N,N-dimethyl acetamide",544
21,o-xylene,407
22,ethyl acetate,394
23,isopropyl alcohol,361
24,"5,5-dimethyl-1,3-cyclohexadiene",313
25,nitrobenzene,311
26,carbon disulfide,304
27,chlorobenzene,265
28,acetone,206
29,"1,2-dichloro-benzene",178
30,various solvent(s),161
31,tert-butyl methyl ether,159
32,"2,2,2-trifluoroethanol",156
33,pentane,145
34,2-methyltetrahydrofuran,145
35,diethylene glycol dimethyl ether,128
36,"1,3,5-trimethyl-benzene",118
37,m-xylene,115
38,iso-butanol,110
39,"1,1-dichloroethane",106
40,tert-Amyl alcohol,104
41,diphenylether,99
42,ISOPROPYLAMIDE,95
43,tetrachloromethane,92
44,ethylene glycol,90
45,glycerol,87
46,cyclohexane,68
47,aq. phosphate buffer,66
48,n-heptane,66
49,diethylene glycol,63
50,para-xylene,61
51,Isopropyl acetate,55
52,pentan-3-one,43
53,Petroleum ether,43
54,"alpha,alpha,alpha-trifluorotoluene",43
55,"1,1,2,2-tetrachloroethane",42
56,decalin,38
57,hexanes,34
58,sulfolane,34
59,di-isopropyl ether,33
60,aq. buffer,33
61,mineral oil,30
62,butan-1-ol,30
63,1-ethyl-2-pyrrolidinone,27
64,"1,1,1,3,3-pentafluorobutane",27
65,dodecane,26
66,ethylbenzene,23
67,cyclopentyl methyl ether,19
68,fluorobenzene,19
69,bromobenzene,18
70,dibutyl ether,16
71,tetramethylurea,16
72,"1,3,4-trimethylimidazolidin-2-one",16
73,xylenes,16
74,dibutyl diglyme,14
75,acetate buffer,14
76,propan-1-ol,13
77,"2,2,4-trimethylpentane",13
78,aq. acetate buffer,12
79,methoxybenzene,12
80,monoethylene glycol diethyl ether,12
81,Nitroethane,11
82,tetralin,11
83,"1,3-dimethyl-2-imidazolidinone (DMI)",11
84,Dimethyl ether,11
85,decane,10
86,octane,9
