accuracy 0.5,precision 0.5,recall 0.5,f1-score 0.5,number preds 0.5,accuracy 0.4,precision 0.4,recall 0.4,f1-score 0.4,number preds 0.4,accuracy 0.3,precision 0.3,recall 0.3,f1-score 0.3,number preds 0.3,accuracy 0.2,precision 0.2,recall 0.2,f1-score 0.2,number preds 0.2,accuracy 0.1,precision 0.1,recall 0.1,f1-score 0.1,number preds 0.1,epoch
0.99901,0.56318,0.49321,0.50910,1.16,0.99868,0.60315,0.70159,0.62477,2.40,0.99699,0.44794,0.83984,0.54523,5.19,0.99003,0.21936,0.92860,0.32458,14.80,0.94208,0.05412,0.98157,0.09770,78.32,5
0.99911,0.65557,0.62109,0.62067,1.47,0.99866,0.62876,0.77452,0.66696,2.71,0.99697,0.45966,0.87422,0.55908,5.38,0.99074,0.23789,0.94071,0.34266,13.90,0.94992,0.06672,0.98036,0.11691,67.96,10
0.99916,0.69521,0.67121,0.66649,1.57,0.99879,0.65322,0.79114,0.69033,2.59,0.99733,0.50417,0.87931,0.59601,4.93,0.99201,0.28922,0.93845,0.39487,12.23,0.95571,0.08842,0.97807,0.14740,60.31,15
0.99923,0.72062,0.70330,0.69582,1.62,0.99888,0.68523,0.79992,0.71392,2.51,0.99782,0.57151,0.87444,0.64957,4.27,0.99427,0.37889,0.92947,0.48330,9.20,0.96922,0.14064,0.97122,0.21653,42.45,20
0.99925,0.73358,0.71245,0.70745,1.62,0.99902,0.71246,0.79736,0.73195,2.30,0.99828,0.62727,0.86309,0.69020,3.59,0.99583,0.46208,0.91399,0.55700,7.08,0.97927,0.21181,0.96260,0.29889,29.15,25
0.99924,0.74525,0.73640,0.72629,1.74,0.99898,0.71915,0.79783,0.73627,2.40,0.99833,0.65244,0.86151,0.70846,3.54,0.99625,0.50631,0.91038,0.59614,6.52,0.98194,0.25731,0.95377,0.34895,25.60,30
0.99928,0.75103,0.73777,0.73035,1.71,0.99907,0.73572,0.79610,0.74665,2.25,0.99860,0.68583,0.85059,0.72907,3.15,0.99706,0.56440,0.89882,0.64262,5.40,0.98699,0.32425,0.94619,0.41691,18.90,35
0.99929,0.75356,0.74355,0.73498,1.71,0.99913,0.74165,0.79722,0.75080,2.17,0.99873,0.70062,0.84394,0.73853,2.94,0.99759,0.60040,0.88951,0.67160,4.65,0.99049,0.38338,0.93681,0.47515,14.24,40
0.99928,0.75581,0.74305,0.73587,1.72,0.99915,0.74871,0.79339,0.75332,2.14,0.99880,0.71060,0.83956,0.74409,2.83,0.99784,0.62526,0.88241,0.68946,4.30,0.99200,0.42396,0.93140,0.51289,12.22,45
0.99929,0.75771,0.74553,0.73838,1.72,0.99916,0.75077,0.79017,0.75387,2.11,0.99887,0.72106,0.83668,0.75069,2.72,0.99806,0.64761,0.88183,0.70653,4.00,0.99323,0.45576,0.92674,0.54316,10.58,50
0.99928,0.75738,0.74578,0.73823,1.73,0.99916,0.75413,0.79085,0.75632,2.11,0.99888,0.72528,0.83305,0.75205,2.70,0.99814,0.65710,0.87591,0.71246,3.86,0.99388,0.48072,0.92224,0.56470,9.70,55
0.99930,0.75868,0.74518,0.73868,1.71,0.99919,0.75547,0.78723,0.75555,2.05,0.99893,0.73056,0.82947,0.75491,2.61,0.99828,0.66945,0.87213,0.72134,3.66,0.99464,0.50213,0.91744,0.58497,8.68,60
0.99929,0.75756,0.74440,0.73761,1.71,0.99919,0.75713,0.78466,0.75550,2.04,0.99895,0.73217,0.82541,0.75439,2.57,0.99835,0.67643,0.86707,0.72519,3.55,0.99502,0.52125,0.91385,0.60068,8.17,65
0.99929,0.76055,0.74846,0.74122,1.72,0.99920,0.75837,0.78864,0.75811,2.05,0.99896,0.73555,0.82640,0.75694,2.54,0.99839,0.67993,0.86674,0.72765,3.50,0.99533,0.52897,0.91307,0.60797,7.74,70
0.99930,0.76055,0.74939,0.74164,1.72,0.99920,0.75859,0.78710,0.75752,2.04,0.99898,0.73761,0.82600,0.75816,2.53,0.99842,0.68408,0.86722,0.73078,3.46,0.99552,0.53836,0.91019,0.61542,7.49,75
0.99930,0.75902,0.74579,0.73943,1.70,0.99922,0.75831,0.78485,0.75677,2.00,0.99901,0.74007,0.82384,0.75896,2.47,0.99849,0.69148,0.86340,0.73555,3.34,0.99584,0.55090,0.90862,0.62629,7.06,80
