accuracy 0.5,precision 0.5,recall 0.5,f1-score 0.5,number preds 0.5,accuracy 0.4,precision 0.4,recall 0.4,f1-score 0.4,number preds 0.4,accuracy 0.3,precision 0.3,recall 0.3,f1-score 0.3,number preds 0.3,accuracy 0.2,precision 0.2,recall 0.2,f1-score 0.2,number preds 0.2,accuracy 0.1,precision 0.1,recall 0.1,f1-score 0.1,number preds 0.1,epoch
0.99181,0.67242,0.62962,0.63721,0.90,0.98911,0.68676,0.80348,0.71378,1.64,0.97469,0.50890,0.91674,0.60611,3.23,0.93588,0.28927,0.96862,0.40553,6.77,0.83194,0.11790,0.99064,0.20027,15.88,5
0.99284,0.72640,0.70105,0.70191,1.03,0.99007,0.72524,0.84020,0.75263,1.67,0.97888,0.58810,0.92061,0.66837,2.89,0.95029,0.39803,0.96674,0.50333,5.51,0.86652,0.18344,0.98878,0.27716,12.87,10
0.99333,0.76195,0.73666,0.73724,1.08,0.99120,0.75649,0.84387,0.77505,1.59,0.98340,0.65483,0.91014,0.71745,2.46,0.96284,0.49809,0.95620,0.59028,4.39,0.89508,0.26947,0.98385,0.36702,10.37,15
0.99345,0.77382,0.75739,0.75349,1.13,0.99169,0.76568,0.83741,0.77962,1.53,0.98630,0.69516,0.89581,0.74619,2.17,0.97130,0.56694,0.94266,0.64983,3.62,0.92163,0.36164,0.97695,0.45970,8.04,20
0.99370,0.78567,0.77037,0.76679,1.15,0.99239,0.78262,0.83360,0.78974,1.46,0.98856,0.73054,0.88659,0.76968,1.95,0.97855,0.63475,0.92726,0.70243,2.94,0.94177,0.44763,0.96517,0.53809,6.26,25
0.99367,0.79171,0.78104,0.77467,1.18,0.99257,0.78809,0.83623,0.79393,1.45,0.98955,0.74766,0.88241,0.78125,1.85,0.98182,0.66775,0.91883,0.72768,2.63,0.95406,0.50893,0.96133,0.59436,5.17,30
0.99385,0.79519,0.78801,0.77963,1.19,0.99283,0.79236,0.83310,0.79557,1.42,0.99037,0.75965,0.87325,0.78653,1.75,0.98419,0.69428,0.91069,0.74623,2.40,0.96223,0.55580,0.94993,0.63355,4.43,35
0.99382,0.79506,0.78631,0.77924,1.19,0.99304,0.79590,0.83430,0.79881,1.40,0.99090,0.76954,0.87084,0.79334,1.70,0.98585,0.71726,0.90659,0.76290,2.25,0.96786,0.59231,0.94534,0.66480,3.92,40
0.99386,0.79759,0.79039,0.78243,1.19,0.99307,0.79580,0.83175,0.79775,1.39,0.99124,0.77139,0.86490,0.79281,1.65,0.98708,0.72482,0.90082,0.76835,2.12,0.97207,0.61325,0.93765,0.68264,3.54,45
0.99387,0.79872,0.79084,0.78382,1.20,0.99320,0.79968,0.82811,0.79903,1.37,0.99171,0.78244,0.86317,0.79976,1.61,0.98832,0.74230,0.89408,0.77941,2.00,0.97661,0.65118,0.93096,0.71274,3.13,50
0.99393,0.80006,0.79306,0.78542,1.20,0.99327,0.79975,0.82745,0.79870,1.36,0.99182,0.78403,0.85997,0.79951,1.59,0.98863,0.74564,0.89116,0.78081,1.96,0.97773,0.65825,0.92536,0.71777,3.01,55
0.99387,0.79865,0.79158,0.78380,1.20,0.99331,0.79985,0.82449,0.79769,1.35,0.99206,0.78710,0.85773,0.80082,1.56,0.98907,0.75000,0.88550,0.78299,1.91,0.97946,0.67142,0.92251,0.72816,2.86,60
0.99389,0.79936,0.78956,0.78362,1.19,0.99336,0.80093,0.82238,0.79760,1.34,0.99218,0.78866,0.85236,0.80032,1.54,0.98940,0.75584,0.88275,0.78616,1.87,0.98044,0.68172,0.91888,0.73557,2.76,65
0.99388,0.80118,0.79201,0.78562,1.20,0.99333,0.80159,0.82261,0.79797,1.34,0.99224,0.79079,0.85434,0.80231,1.53,0.98969,0.76008,0.88239,0.78914,1.84,0.98130,0.68725,0.91867,0.74013,2.68,70
0.99392,0.80404,0.79487,0.78828,1.20,0.99342,0.80396,0.82399,0.80006,1.34,0.99234,0.79180,0.85127,0.80202,1.52,0.98995,0.76202,0.88079,0.79045,1.82,0.98227,0.69350,0.91455,0.74461,2.59,75
0.99388,0.80045,0.79219,0.78515,1.20,0.99341,0.80396,0.82271,0.79942,1.33,0.99235,0.79081,0.84852,0.80045,1.51,0.99008,0.76404,0.87900,0.79136,1.80,0.98268,0.69732,0.91327,0.74728,2.55,80
