ethanol	CCO
methanol	CO
chloroform	ClC(Cl)Cl
ethyl acetate	CCOC(C)=O
N,N-dimethyl-formamide	CN(C)C=O
acetonitrile	CC#N
sulfolane	O=S1(=O)CCCC1
hexane	CCCCCC
tetrahydrofuran	C1CCOC1
1,4-dioxane	C1COCCO1
toluene	Cc1ccccc1
neat (no solvent)	neat (no solvent)
1,2-dimethoxyethane	COCCOC
water	O
o-xylene	Cc1ccccc1C
diethylene glycol	OCCOCCO
xylene	Cc1ccccc1C
5,5-dimethyl-1,3-cyclohexadiene	CC1(C)C=CC=CC1
diethyl ether	CCOCC
tert-butyl alcohol	CC(C)(C)O
dimethyl sulfoxide	C[S+](C)[O-]
butan-1-ol	CCCCO
1,2-dichloro-benzene	Clc1ccccc1Cl
N,N-dimethyl acetamide	CC(=O)N(C)C
1-methyl-pyrrolidin-2-one	CN1CCCC1=O
nitrobenzene	O=[N+]([O-])c1ccccc1
hexanes	CCCCCC
diethylene glycol dimethyl ether	COCCOCCOC
ethylene glycol	OCCO
iso-butanol	CC(C)CO
mineral oil	None
glycerol	OCC(O)CO
isopropyl alcohol	CC(C)O
neat (no solvent, solid phase)	neat (no solvent)
benzene	c1ccccc1
1,3,5-trimethyl-benzene	Cc1cc(C)cc(C)c1
para-xylene	Cc1ccc(C)cc1
dichloromethane	ClCCl
chloroform-d1	ClC(Cl)Cl
various solvent(s)	None
cyclopentyl methyl ether	COC1CCCC1
Dimethyl ether	COC
dibutyl ether	CCCCOCCCC
tert-Amyl alcohol	CCC(C)(C)O
n-heptane	CCCCCCC
diphenylether	c1ccc(Oc2ccccc2)cc1
DMF (N,N-dimethyl-formamide)	CN(C)C=O
m-xylene	Cc1cccc(C)c1
ISOPROPYLAMIDE	CC(C)[NH-]
acetone	CC(C)=O
dimethylsulfoxide-d6	C[S+](C)[O-]
dodecane	CCCCCCCCCCCC
2-methyltetrahydrofuran	CC1CCCO1
chlorobenzene	Clc1ccccc1
xylenes	None
(2)H8-toluene	Cc1ccccc1
Petroleum ether	CCCCCCC
propan-1-ol	CCCO
2-methyl-propan-1-ol	CC(C)CO
alpha,alpha,alpha-trifluorotoluene	FC(F)(F)c1ccccc1
1,2-dichloro-ethane	ClCCCl
2,2,2-trifluoroethanol	OCC(F)(F)F
decane	CCCCCCCCCC
decalin	C1CCC2CCCCC2C1
Isopropyl acetate	CC(=O)OC(C)C
pentane	CCCCC
octane	CCCCCCCC
nitromethane	C[N+](=O)[O-]
aq. buffer	None
fluorobenzene	Fc1ccccc1
aq. phosphate buffer	aq. phosphate buffer
1,1-dichloroethane	CC(Cl)Cl
monoethylene glycol diethyl ether	CCOCCOCC
tert-butyl methyl ether	COC(C)(C)C
not given	neat (no solvent)
pentan-3-one	CCC(=O)CC
cyclohexane	C1CCCCC1
benzene-d6	c1ccccc1
[D3]acetonitrile	CC#N
tetralin	c1ccc2c(c1)CCCC2
tetrachloromethane	ClC(Cl)(Cl)Cl
acetate buffer	None
methoxybenzene	COc1ccccc1
bromobenzene	Brc1ccccc1
carbon disulfide	S=C=S
1,1,2,2-tetrachloroethane	ClC(Cl)C(Cl)Cl
Nitroethane	CC[N+](=O)[O-]
1,1,1,3,3-pentafluorobutane	CC(F)(F)CC(F)(F)F
di-isopropyl ether	CC(C)OC(C)C
2,2,4-trimethylpentane	CC(C)CC(C)(C)C
neat liquid	neat (no solvent)
ethylbenzene	CCc1ccccc1
1-ethyl-2-pyrrolidinone	CCN1CCCC1=O
dibutyl diglyme	CCCCC(CCCC)OCCOCCOC
tetramethylurea	CN(C)C(=O)N(C)C
1,3-dimethyl-2-imidazolidinone (DMI)	CN1CCN(C)C1=O
1,3,4-trimethylimidazolidin-2-one	CC1CN(C)C(=O)N1C
aq. acetate buffer	CC(=O)O.CC(=O)[O-].[Na+]
MeOH	CO
phosphate buffer	aq. phosphate buffer
