Yield / Rank,Reagent(s),Solvent(s),Temperature,Probability
Rank1,L-proline,dimethyl sulfoxide,86.3,0.128
Rank2,silica gel,toluene,89.8,0.077
Rank3,silica gel,dimethyl sulfoxide,93.6,0.074
Rank4,"1,8-diazabicyclo[5.4.0]undec-7-ene",dimethyl sulfoxide,99.1,0.065
Rank5,L-proline,toluene,84.4,0.062
Rank6,pyrrolidine; silica gel,toluene,99.0,0.055
Rank7,"1,8-diazabicyclo[5.4.0]undec-7-ene; silica gel",toluene,94.9,0.046
Rank8,pyrrolidine,toluene,88.8,0.044
Rank9,"1,8-diazabicyclo[5.4.0]undec-7-ene",toluene,95.4,0.038
Rank10,L-proline,dimethyl sulfoxide; toluene,87.5,0.035
Rank11,"1,8-diazabicyclo[5.4.0]undec-7-ene; pyrrolidine; silica gel",toluene,106.2,0.027
Rank12,"1,8-diazabicyclo[5.4.0]undec-7-ene; silica gel",dimethyl sulfoxide,98.5,0.022
Rank13,"1,8-diazabicyclo[5.4.0]undec-7-ene; L-proline",toluene,91.5,0.021
Rank14,"1,8-diazabicyclo[5.4.0]undec-7-ene",dimethyl sulfoxide; toluene,99.2,0.020
Rank15,L-proline; pyrrolidine; silica gel,toluene,94.5,0.018
Rank16,"1,8-diazabicyclo[5.4.0]undec-7-ene; pyrrolidine",toluene,95.7,0.018
Rank17,L-proline; pyrrolidine,toluene,85.8,0.017
Rank18,pyrrolidine,dimethyl sulfoxide,91.1,0.015
Rank19,"1,8-diazabicyclo[5.4.0]undec-7-ene; L-proline",dimethyl sulfoxide,93.4,0.015
Rank20,silica gel,dimethyl sulfoxide; toluene,93.8,0.015
